Time,X,Y,Z,Acceleration_Magnitude,Intensity,Jerkiness,Kinetic_Energy,Fluidity
84.82,-3.1196448802948,-10.35971069335938,3.591302633285522,76.3801401423737,0.10130113764359025,0.04934183874131887,0.018399551051267993,0.3728995842056872
84.83,-3.268085241317749,-11.11149024963379,3.514688014984131,62.94408849129157,0.0970227077557711,0.05166343118530693,0.02012366082939488,0.3895146037906635
84.84,-2.829946517944336,-11.15219116210938,4.031835556030273,116.77775036969744,0.09787825148078008,0.05224463454498348,0.020808144013268196,0.3982828915096209
84.85,-1.637633919715881,-9.86650562286377,5.856217384338379,115.26479157314645,0.0980900983588686,0.05119886296215993,0.020114002632859455,0.392860340412933
84.86,-0.751779317855835,-8.027758598327637,6.873753070831299,110.11714763025694,0.09541535510559955,0.050883636735538675,0.018301703067606732,0.3596775769402897
84.87,-1.544260144233704,-7.345410823822021,5.540182590484619,77.86122536349238,0.092557154147908,0.0528190051112765,0.01628570862464596,0.30833047100818894
84.88,-2.612074136734009,-6.789956092834473,4.60165548324585,92.26885311418447,0.09097164205598886,0.05172665325660202,0.01474856995042689,0.2851251554366504
84.89,-3.100491285324097,-7.19936466217041,5.188235282897949,89.90350424400327,0.09015423064855647,0.04833213638205039,0.013959658292842264,0.2888276711398053
84.9,-3.428496837615967,-8.485051155090332,4.37420654296875,60.828507692799455,0.08682240582562212,0.04672204608865517,0.013985643917286435,0.2993371478280298
84.91,-3.438073635101318,-9.08838939666748,3.028665065765381,94.6560498260082,0.0856044196500098,0.0459074170852505,0.014038466997721884,0.30579954152556704
84.92,-1.553836941719055,-8.734047889709473,3.591302633285522,113.56449813737377,0.08533878558709729,0.04579045831849463,0.0139266032507302,0.3041376710720042
84.93,0.4118026793003082,-8.269572257995605,4.264073371887207,104.60315927907403,0.08553262347752091,0.041970346210993346,0.014640881195769543,0.3488387067777846
84.94,0.9193734526634216,-7.642292022705078,5.384559631347656,44.564199265038795,0.08097542179584068,0.038991153392618445,0.015986892873003592,0.410013338445501
84.95,-0.272938996553421,-8.31985092163086,5.655104637145996,98.08640216363504,0.07992330881622912,0.03750172324832582,0.016903170198842302,0.4507304954002355
